Region,RouteName,PointName,PointLat,PointLong
Java,V1,GOLFI,061642.77S,1063859.25E
Java,V1,BUDIT,061732.18S,1063356.61E
Java,V1,SOBAR,061307S,1062825E
Java,V1,ERANG,060654S,1060914E
Java,V1,MERAK,055616S,1055947E
Java,V1,GUSAN,,
Java,V2,CABAI,,
Java,V2,PIMAL,,
Java,V3,LOPUT,,
Java,V3,PEDAM,,
Java,V3,TAPRI,,
Java,V3,GADIN,,
Java,V3,CIPIN,,
Java,V4,SOBAR,,
Java,V4,GOLFI,,
Java,V4,PIMAL,,
Java,V4,CIPIN,,
Java,V5,LABAN,,
Java,V5,KRAWA,,
Java,V5,BARUS,,
Java,V6,BND,,
Java,V6,LARAN,,
Java,V6,KALON,,
Java,V6,PW NDB,,
Java,V6,BARUS,,
Java,V6,DEPOK,,
Java,V6,CABAI,,
Java,V7,BND VOR,,
Java,V7,BUANA,,
Java,V7,BARUS,,
Java,V8,BARUS,,
Java,V8,CIKAR,,
Java,V8,KRAWA,,
Java,V9,KWAKI,,
Java,V9,GOLFI,,
Java,V9,CABAI,,
Java,V9,SENTU,,
Java,V10,PIMAL,,
Java,V10,KEMBA,,
Java,V10,KWAKI,,
Java,V10,SOBAR,,
Java,V10,ARITA,,
Java,V10,TALES,,
Java,V11,GADIN,,
Java,V11,TARUM,,
Java,V11,LABAN,,
Java,HLP N GATE 1,PIMAL,,
Java,HLP N GATE 1,CILIL,,
Java,HLP N GATE 2,CIPIN,,
Java,HLP N GATE 2,CILIL,,
Java,V6 ALTN,DEPOK,,
Java,V6 ALTN,CIBUR,,
Java,V6 ALTN,BARUS,,
Java,HLP S GATE 1,DEPOK,,
Java,HLP S GATE 1,CIBUR,,
Java,HLP S GATE 1,SOBEK,,
Java,HLP S GATE 2,CIKAR,,
Java,HLP S GATE 2,SOBEK,,
Java,HLP S GATE 3,BARUS,,
Java,HLP S GATE 3,SOBEK,,
Java,V12,LABAN,,
Java,V12,NUKAN,,
Java,V12,NALAT,,
Java,V12,BONGA,,
Java,V12,IMU VOR,,
Java,V13,ANY VOR,,
Java,V13,AKREO,,
Java,V13,ENDAL,,
Java,V13,ONGAN,,
Java,V13,ALANG,,
Java,V13,TEGAL,,
Java,V13,LOSAR,,
Java,V13,JAMBE,,
Java,V13,IMU VOR,,
Java,V14,LORAM,,
Java,V14,SONGO,,
Java,V14,ODADI,,
Java,V14,GUPEN,,
Java,V14,STASI,,
Java,V14,PIPUS,,
Java,V14,AKREO,,
Java,V14,ANY VOR,,
Java,V35,GUPEN,,
Java,V35,PURWO,,
Java,V35,ODADI,,
,V200,WONDO,,
,,BINJA,,
,,ARIKE,,
,,INAGA,,
,V201,TEBIN,,
,,UNGAN,,
,,KUNAM,,
,,KANAL,,
,,BELAW,,
,,UPURA,,
,V202,UPURA,,
,,BELAW,,
,,BASEL,,
,,WONDO,,
,V203,KUNAM,,
,,KANAL,,
,,BASEL,,
,,WONDO,,
,V204,KUNAM,,
,,UNGAN,,
,,TEBIN,,
,,ANTAR,,
,,IBISA,,
,,PORSE,,
,,ALIGE,,
,,SLG VOR,,
Papua,NAB 1,EMILI,,
,,BRAVO,,
,,CHARLIE,,
,,WAGHETE GAP,,
,,BADDO,,
,,TIMIKA,,
,NAB 2,EMILI,,
,,BRAVO,,
,,ENA GAP,,
,,ENAROTALI,,
,NAB3,EMILI,,
,,BRAVO,,
,,ECHO,,
,,YOUTADI,,
,,HOMEYO,,
,,BILAI,,
,,BILOGAI,,
,NAB 4,EMILI,,
,,BRAVO,,
,,X-RAY,,
,,BAHITAWA,,
,,YANKEE,,
,,EBE,,
,,LUMO,,
,,MULIA,,
,NAB 5,EMILI,,
,,ATURU,,
,,WAISAI,,
,,X-RAY,,
,,BIABU,,
,,DOUFU,,
,,FAOWI,,
,NAB 6,EMILI,,
,,MAKIMI,,
,,WAGOPA,,
,,BOTAWA,,
,,MAKRA,,
,,PISAI,,
,,KASONAWEJA,,
,ENA 1A,ENAROTALI,,
,,KOMOPA,,
,,YOUTADI,,
,,BUGALAGA,,
,ENA 1B,ENAROTALI,,
,,KOMOPA,,